"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","strain","RHA","set_size_in_data"
"Sigma54_targets",1.12079553366574e-23,5.60397766832868e-23,1.26273988547916,0.741713022267886,2.58078357622068,181,"PFLU_5903;PFLU_2701;PFLU_2700;PFLU_4730;PFLU_0587;PFLU_4729;PFLU_0561;PFLU_1127;PFLU_2220;PFLU_3420;PFLU_4731;PFLU_4429;PFLU_2338;PFLU_0586;PFLU_4026;PFLU_0588;PFLU_4734;PFLU_4728;PFLU_4607;PFLU_2385;PFLU_5905;PFLU_5904;PFLU_1000;PFLU_4428;PFLU_4427;PFLU_3746;PFLU_2213;PFLU_2215;PFLU_0556;PFLU_4955;PFLU_1001;PFLU_4608;PFLU_4609;PFLU_2325;PFLU_4423;PFLU_2221;PFLU_3582;PFLU_2802;PFLU_0585;PFLU_4426;PFLU_3135;PFLU_2224;PFLU_3136;PFLU_1747;PFLU_2223;PFLU_2789;PFLU_4424;PFLU_4518;PFLU_2730;PFLU_4611;PFLU_0562;PFLU_2057;PFLU_4422;PFLU_2218;PFLU_2219;PFLU_0551;PFLU_0563;PFLU_1003;PFLU_1002;PFLU_4439;PFLU_2212;PFLU_4438;PFLU_4440;PFLU_4818;PFLU_2056;PFLU_2216;PFLU_4741;PFLU_0553;PFLU_3585;PFLU_3584;PFLU_4610;PFLU_2629;PFLU_3745;PFLU_2339;PFLU_4435;PFLU_4643;PFLU_2058;PFLU_2222;PFLU_4437;PFLU_0554;PFLU_2384;PFLU_2038;PFLU_1990;PFLU_1033;PFLU_2323;PFLU_2039;PFLU_0555;PFLU_1988;PFLU_4833;PFLU_1991;PFLU_2619;PFLU_1123;PFLU_1989;PFLU_3426;PFLU_5906;PFLU_3419;PFLU_2621;PFLU_0584;PFLU_1122;PFLU_2617;PFLU_1992;PFLU_4727;PFLU_0348;PFLU_4425;PFLU_5678;PFLU_1984",4895,"NoRha",181
"NO_reductase",0.00102347508360694,0.00255868770901734,0.45505986738723,-0.844792365517806,-1.87795456271007,9,"PFLU_5143;PFLU_5141;PFLU_5897",4895,"NoRha",9
"Glycine_cleavage",0.00267528566954272,0.00445880944923787,0.431707695803346,0.612796277497868,1.74489234380011,42,"PFLU_4897;PFLU_4896;PFLU_4899;PFLU_4898;PFLU_5652;PFLU_5648;PFLU_5721;PFLU_4610;PFLU_5650",4895,"NoRha",42
"Anti_sigma_system",0.356340288924559,0.445425361155698,0.0855356947987884,0.401513360010965,1.07864733526025,31,"PFLU_4731;PFLU_4454;PFLU_4428;PFLU_4427",4895,"NoRha",31
"Pyrimidine_Aspartate",0.964230171073095,0.964230171073095,0.0357690767485421,0.20948367439822,0.594865174884225,40,"PFLU_0673;PFLU_1628;PFLU_6094;PFLU_2111",4895,"NoRha",40
"Glycine_cleavage",0.00076997365964311,0.00384986829821555,0.477270815362862,0.573789507833766,1.838292990228,42,"PFLU_4896;PFLU_4897;PFLU_5652;PFLU_4899;PFLU_4898;PFLU_5650;PFLU_5649;PFLU_5648;PFLU_5721;PFLU_5679;PFLU_4952;PFLU_0011;PFLU_0414;PFLU_0732;PFLU_5043;PFLU_4610;PFLU_5406;PFLU_0612;PFLU_5330",4895,"Rha",42
"Sigma54_targets",0.11038961038961,0.275974025974026,0.135740943810425,0.315582346495242,1.23295752813614,181,"PFLU_0562;PFLU_4955;PFLU_0709;PFLU_4609;PFLU_0588;PFLU_0563;PFLU_5903;PFLU_2384;PFLU_4731;PFLU_2385;PFLU_1000;PFLU_2337;PFLU_4611;PFLU_2701;PFLU_2802;PFLU_0587;PFLU_2700;PFLU_1001;PFLU_4429;PFLU_5193;PFLU_1747;PFLU_4643;PFLU_0586;PFLU_0585;PFLU_5678;PFLU_4729;PFLU_0560;PFLU_1002;PFLU_1003;PFLU_0584;PFLU_4607;PFLU_4728;PFLU_4608;PFLU_4730;PFLU_4426;PFLU_4427;PFLU_0553;PFLU_2323;PFLU_4026;PFLU_3135;PFLU_2339;PFLU_0583;PFLU_2803;PFLU_4734;PFLU_4518;PFLU_4422;PFLU_5904;PFLU_0444;PFLU_0561;PFLU_2338;PFLU_5905",4895,"Rha",181
"NO_reductase",0.37156704361874,0.619278406031233,0.0835990603684159,0.483864003088163,1.095617286999,9,"PFLU_5142;PFLU_5141;PFLU_5007;PFLU_5143",4895,"Rha",9
"Anti_sigma_system",0.702702702702703,0.702702702702703,0.096887770327544,-0.239075473235949,-0.86566278530563,31,"PFLU_3784;PFLU_4471;PFLU_3017;PFLU_2679;PFLU_3777;PFLU_1584;PFLU_1478;PFLU_4432",4895,"Rha",31
"Pyrimidine_Aspartate",0.626490066225166,0.702702702702703,0.0482149710025564,0.282426839911779,0.891222425184256,40,"PFLU_0020;PFLU_0673;PFLU_5044;PFLU_1628;PFLU_4951;PFLU_5473;PFLU_5043;PFLU_0612;PFLU_5034;PFLU_5266;PFLU_0611;PFLU_1156",4895,"Rha",40
